comuna;region;year;month;day;str_date;n_contadores;count_1;count_2
VALDIVIA;14;2018;1;1;1-1-2018;3;172;0
HUALPÉN;8;2018;1;1;1-1-2018;2;81;0
TALCAHUANO;8;2018;1;1;1-1-2018;3;445;0
LOS ANGELES;8;2018;1;1;1-1-2018;2;249;0
CONCEPCION;8;2018;1;1;1-1-2018;2;454;0
CORONEL;8;2018;1;1;1-1-2018;2;332;0
ARICA;15;2018;1;1;1-1-2018;7;724;0
Temuco;9;2018;1;1;1-1-2018;6;1402;0
VILLARICA;9;2018;1;1;1-1-2018;4;188;0
TEMUCO;9;2018;1;1;1-1-2018;10;1900;0
VICTORIA;9;2018;1;1;1-1-2018;3;199;0
PUNTA ARENAS;12;2018;1;1;1-1-2018;6;470;0
PUERTO NATALES;12;2018;1;1;1-1-2018;6;171;0
ANTOFAGASTA;2;2018;1;1;1-1-2018;4;366;0
CALAMA;2;2018;1;1;1-1-2018;7;905;0
LA SERENA;4;2018;1;1;1-1-2018;3;222;0
TALAGANTE;13;2018;1;1;1-1-2018;3;458;0
BUIN;13;2018;1;1;1-1-2018;1;340;0
PUERTO MONTT;10;2018;1;1;1-1-2018;4;338;0
COPIAPO;3;2018;1;1;1-1-2018;8;531;0
SANTA CRUZ;6;2018;1;1;1-1-2018;1;107;0
RANCAGUA;6;2018;1;1;1-1-2018;1;165;0
PUERTO AYSÉN;11;2018;1;1;1-1-2018;12;164;0
VALDIVIA;14;2018;1;2;2-1-2018;3;303;0
HUALPÉN;8;2018;1;2;2-1-2018;2;175;0
TALCAHUANO;8;2018;1;2;2-1-2018;3;679;0
LOS ANGELES;8;2018;1;2;2-1-2018;2;823;0
CONCEPCION;8;2018;1;2;2-1-2018;2;1495;0
CORONEL;8;2018;1;2;2-1-2018;2;799;0
ARICA;15;2018;1;2;2-1-2018;7;2054;0
Temuco;9;2018;1;2;2-1-2018;6;2384;0
VILLARICA;9;2018;1;2;2-1-2018;4;140;0
TEMUCO;9;2018;1;2;2-1-2018;10;2668;0
VICTORIA;9;2018;1;2;2-1-2018;3;652;0
PUNTA ARENAS;12;2018;1;2;2-1-2018;6;662;0
PUERTO NATALES;12;2018;1;2;2-1-2018;6;530;0
ANTOFAGASTA;2;2018;1;2;2-1-2018;4;737;0
CALAMA;2;2018;1;2;2-1-2018;7;1985;0
LA SERENA;4;2018;1;2;2-1-2018;3;504;0
TALAGANTE;13;2018;1;2;2-1-2018;3;1001;0
BUIN;13;2018;1;2;2-1-2018;1;743;0
PUERTO MONTT;10;2018;1;2;2-1-2018;4;423;0
COPIAPO;3;2018;1;2;2-1-2018;8;1861;0
SANTA CRUZ;6;2018;1;2;2-1-2018;1;352;0
RANCAGUA;6;2018;1;2;2-1-2018;1;612;0
PUERTO AYSÉN;11;2018;1;2;2-1-2018;12;470;0
VALDIVIA;14;2018;1;3;3-1-2018;3;137;0
HUALPÉN;8;2018;1;3;3-1-2018;2;120;0
TALCAHUANO;8;2018;1;3;3-1-2018;3;375;0
LOS ANGELES;8;2018;1;3;3-1-2018;2;738;0
CONCEPCION;8;2018;1;3;3-1-2018;2;836;0
CORONEL;8;2018;1;3;3-1-2018;2;415;0
ARICA;15;2018;1;3;3-1-2018;7;2236;0
Temuco;9;2018;1;3;3-1-2018;6;1973;0
VILLARICA;9;2018;1;3;3-1-2018;4;88;0
TEMUCO;9;2018;1;3;3-1-2018;10;1977;0
VICTORIA;9;2018;1;3;3-1-2018;3;656;0
PUNTA ARENAS;12;2018;1;3;3-1-2018;6;567;0
PUERTO NATALES;12;2018;1;3;3-1-2018;6;611;0
ANTOFAGASTA;2;2018;1;3;3-1-2018;4;735;0
CALAMA;2;2018;1;3;3-1-2018;7;2237;0
LA SERENA;4;2018;1;3;3-1-2018;3;576;0
